Município,Ano,Produto Interno Bruto a preços correntes (Mil Reais),"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)",Valor adicionado bruto a preços correntes total (Mil Reais),Valor adicionado bruto a preços correntes da agropecuária (Mil Reais),Valor adicionado bruto a preços correntes da indústria (Mil Reais),"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
Auriflama (SP),2021,358544,22686,335858,36449,40185,189742,69482
Avaí (SP),2021,376094,10201,365893,249016,11779,71770,33327
Avanhandava (SP),2021,199389,10178,189211,38333,7236,81276,62366
Avaré (SP),2021,3278922,332141,2946781,154850,483492,1879750,428689
Bady Bassitt (SP),2021,551849,51575,500273,19643,82368,305638,92625
Balbinos (SP),2021,65400,2010,63390,16589,4811,13341,28648
Bálsamo (SP),2021,278642,27832,250809,37092,46856,122318,44543
Bananal (SP),2021,216018,15261,200757,11796,36130,93762,59069
Barão de Antonina (SP),2021,74956,2209,72748,28043,2888,21295,20522
Barbosa (SP),2021,109125,6844,102280,13933,4510,49618,34220
Bariri (SP),2021,1623406,205150,1418255,88983,426105,723694,179473
Barra Bonita (SP),2021,1515653,176621,1339031,20125,405061,732207,181639
Barra do Chapéu (SP),2021,133738,4648,129090,70754,4986,25568,27781
Barra do Turvo (SP),2021,125821,11777,114044,5097,5416,60597,42934
Barretos (SP),2021,5903516,564829,5338687,251329,1315472,3146638,625248
Barrinha (SP),2021,624816,43807,581009,30338,112693,272051,165926
Barueri (SP),2021,58027667,13818755,44208912,464,5741034,36185003,2282410
Bastos (SP),2021,1067217,65553,1001664,461928,123143,306440,110153
Batatais (SP),2021,2416803,265284,2151519,200058,532695,1109479,309287
Bauru (SP),2021,16721368,1842664,14878704,49290,2524992,10733609,1570814
Bebedouro (SP),2021,4080485,589814,3490670,117188,535906,2466710,370866
Bento de Abreu (SP),2021,210460,19985,190475,36684,77655,53273,22864
Bernardino de Campos (SP),2021,377950,35897,342053,37651,75863,169942,58597
Bertioga (SP),2021,2067677,145045,1922632,8255,141039,1318462,454876
Bilac (SP),2021,292577,15597,276980,124813,10507,103764,37896
Birigui (SP),2021,3947388,418990,3528399,80294,720788,2179371,547945
Biritiba Mirim (SP),2021,971016,39749,931267,471704,46493,280353,132717
Boa Esperança do Sul (SP),2021,380753,25899,354854,98617,33977,144514,77747
Bocaina (SP),2021,281964,22819,259145,43686,33096,111188,71175
Bofete (SP),2021,212434,13807,198628,33004,24085,84053,57486
Boituva (SP),2021,3393229,503710,2889519,29902,1115746,1412349,331521
Bom Jesus dos Perdões (SP),2021,1463036,233845,1229192,14056,575826,524791,114518
Bom Sucesso de Itararé (SP),2021,63857,3613,60243,5369,12078,19548,23249
Borá (SP),2021,74195,5916,68279,13496,23467,19788,11529
Boracéia (SP),2021,519153,66808,452345,25545,193575,204730,28494
Borborema (SP),2021,518182,40970,477212,115709,37148,242452,81904
Borebi (SP),2021,73943,4802,69141,22762,3666,20404,22310
Botucatu (SP),2021,5979359,605107,5374252,165588,1498003,3160156,550504
Bragança Paulista (SP),2021,7954300,1171714,6782586,99838,1987758,3946314,748676
Braúna (SP),2021,120687,4946,115741,36631,6689,43389,29033
Brejo Alegre (SP),2021,75675,4412,71263,22315,3599,24671,20678
Brodowski (SP),2021,894831,105963,788868,93166,147133,414074,134494
Brotas (SP),2021,1123987,120522,1003464,109573,280080,482125,131687
Buri (SP),2021,684130,53463,630667,225588,54819,250756,99504
Buritama (SP),2021,627565,41947,585618,72979,155317,274828,82494
Buritizal (SP),2021,244488,11004,233484,39268,119329,42011,32877
Cabrália Paulista (SP),2021,102882,5185,97697,25609,17341,29702,25046
Cabreúva (SP),2021,5961333,1129016,4832318,35186,1863557,2651030,282544
Caçapava (SP),2021,5214553,852091,4362463,23144,1890323,2018774,430222
Cachoeira Paulista (SP),2021,673632,36958,636675,19887,54497,405443,156848
Caconde (SP),2021,574395,22457,551938,249083,33499,185526,83831
Cafelândia (SP),2021,682544,71637,610908,107405,170241,243593,89668
Caiabu (SP),2021,69806,2071,67736,19485,3833,20301,24116
Caieiras (SP),2021,4858858,768836,4090022,4924,1735181,1894173,455745
Caiuá (SP),2021,96255,3935,92320,31770,2736,23349,34465
Cajamar (SP),2021,22713160,5238109,17475051,277,2955319,14021896,497560
Cajati (SP),2021,1755226,373267,1381960,186075,621421,425561,148903
Cajobi (SP),2021,170916,10586,160330,23625,8703,75926,52076
Cajuru (SP),2021,761749,72204,689545,145198,127358,285865,131125
Campina do Monte Alegre (SP),2021,151087,10309,140778,34383,15552,57611,33231
Campinas (SP),2021,72946775,13827269,59119506,170417,11136727,42629969,5182393
Campo Limpo Paulista (SP),2021,2530950,380614,2150336,10544,737110,1038526,364156
Campos do Jordão (SP),2021,1449808,114464,1335344,5938,131449,930239,267718
Campos Novos Paulista (SP),2021,194705,10739,183966,82321,13826,58714,29105
Cananéia (SP),2021,264410,14084,250326,38791,17594,119982,73959
Canas (SP),2021,130060,13204,116857,2281,19678,63844,31054
Cândido Mota (SP),2021,1518347,206444,1311903,116464,229212,832949,133278
Cândido Rodrigues (SP),2021,107108,8152,98955,32513,12621,36235,17585
Canitar (SP),2021,164319,14945,149374,8454,62469,47862,30589
Capão Bonito (SP),2021,1269097,85873,1183224,288352,118234,550333,226305
Capela do Alto (SP),2021,392354,29102,363251,43696,40582,172142,106831
Capivari (SP),2021,2990810,500534,2490276,60898,1045163,1086429,297785
Caraguatatuba (SP),2021,4532236,298116,4234120,14037,976219,2522465,721398
Carapicuíba (SP),2021,6854706,651003,6203703,332,911393,3961459,1330519
Cardoso (SP),2021,321120,15154,305966,81696,16170,141886,66213
Casa Branca (SP),2021,1179142,125136,1054006,264214,131201,508921,149670
Cássia dos Coqueiros (SP),2021,293111,4291,288821,218853,8449,40743,20775
Castilho (SP),2021,1388287,148445,1239842,111293,532894,471493,124161
Catanduva (SP),2021,5218361,508258,4710104,53856,910267,3239255,506725
Catiguá (SP),2021,152902,10524,142378,22123,12343,72451,35461
Cedral (SP),2021,533104,82139,450965,37046,172293,187027,54599
Cerqueira César (SP),2021,956914,99085,857829,107439,239460,417798,93132
Cerquilho (SP),2021,2343906,379850,1964056,75194,742604,931036,215222
Cesário Lange (SP),2021,740569,53753,686816,62225,88445,445274,90871
Charqueada (SP),2021,515123,56451,458672,21621,174764,187873,74413
Clementina (SP),2021,186411,13262,173149,29695,23717,77579,42158
Colina (SP),2021,1541673,200891,1340782,81769,459503,687097,112414
Colômbia (SP),2021,373219,31009,342210,113625,80644,94803,53139
Conchal (SP),2021,859274,98226,761048,46362,238864,349404,126419
Conchas (SP),2021,432993,31956,401037,86115,32691,188776,93455
Cordeirópolis (SP),2021,4107826,635854,3471973,60274,1298662,1915958,197079
Coroados (SP),2021,218777,18592,200185,63908,37005,68662,30611
Coronel Macedo (SP),2021,141158,4753,136405,65679,10819,31399,28508
Corumbataí (SP),2021,345026,55066,289960,38854,19008,200435,31663
Cosmópolis (SP),2021,2109640,271190,1838449,26685,652549,827086,332129
Cosmorama (SP),2021,506809,93031,413778,86573,139845,145773,41588
Cotia (SP),2021,16114165,3652642,12461523,31268,3684979,7573010,1172265
Cravinhos (SP),2021,1753137,312488,1440649,65545,463804,745529,165771
Cristais Paulista (SP),2021,346566,16756,329810,154883,23524,107863,43540
Cruzália (SP),2021,137664,16023,121641,23110,5099,76366,17066
Cruzeiro (SP),2021,3182373,504401,2677972,12250,964748,1342170,358803
Cubatão (SP),2021,21946472,2846506,19099966,1326,12465420,5836352,796868
Cunha (SP),2021,326362,14963,311399,46491,15696,150424,98788
Descalvado (SP),2021,2081162,325773,1755389,154764,606766,817834,176025
Diadema (SP),2021,18484356,3537310,14947045,1127,5202147,7914094,1829678
Dirce Reis (SP),2021,69827,7038,62788,9390,21194,18684,13521
Divinolândia (SP),2021,491457,24392,467066,164414,18571,232712,51369
Dobrada (SP),2021,138927,12648,126278,15061,20856,47907,42455
Dois Córregos (SP),2021,835299,104978,730321,111840,150387,343848,124246
Dolcinópolis (SP),2021,58947,1974,56973,17234,2883,20072,16784
Dourado (SP),2021,802299,177615,624684,28553,314883,231734,49515
Dracena (SP),2021,1444978,130026,1314952,53746,200348,865880,194978
Duartina (SP),2021,252626,16587,236038,16211,27923,130967,60937
Dumont (SP),2021,342332,50067,292265,29209,58644,154248,50165
Echaporã (SP),2021,152432,10470,141961,34664,7771,66840,32687
Eldorado (SP),2021,329349,9730,319619,146214,12951,86045,74408
Elias Fausto (SP),2021,1004655,134561,870094,101619,371413,300563,96499
Elisiário (SP),2021,76051,4294,71757,15320,2723,29479,24235
Embaúba (SP),2021,57200,2041,55159,11552,6254,19027,18326
Embu das Artes (SP),2021,14314754,2917379,11397375,398,1790456,8506889,1099632
Embu-Guaçu (SP),2021,1456125,265933,1190193,2757,279477,590363,317596
Emilianópolis (SP),2021,79175,2692,76483,25691,5697,22515,22580
Engenheiro Coelho (SP),2021,661053,84421,576633,48388,130542,301600,96103
Espírito Santo do Pinhal (SP),2021,2065824,225849,1839974,174806,570661,907643,186865
Espírito Santo do Turvo (SP),2021,91772,4783,86990,24141,4028,30170,28651
Estrela d'Oeste (SP),2021,753257,90647,662611,47013,322399,252574,40625
Estrela do Norte (SP),2021,62446,3565,58881,19268,2896,16302,20415
Euclides da Cunha Paulista (SP),2021,136498,5227,131271,35912,6392,42976,45991
Fartura (SP),2021,473712,30314,443399,97585,53954,214082,77778
Fernandópolis (SP),2021,2468766,218319,2250447,83864,383335,1461340,321908
Fernando Prestes (SP),2021,205594,14027,191567,61991,25277,70717,33581
Fernão (SP),2021,80954,3638,77316,36213,3402,23174,14526
Ferraz de Vasconcelos (SP),2021,4740673,583989,4156685,3345,1554619,1877666,721054
Flora Rica (SP),2021,42156,1035,41122,16115,1696,10249,13062
Floreal (SP),2021,81886,3168,78718,29772,4783,24274,19889
Flórida Paulista (SP),2021,264841,12689,252152,53192,26834,103219,68907
Florínea (SP),2021,171949,19428,152521,35659,4960,89443,22459
Franca (SP),2021,11276086,1154851,10121235,159929,1608561,6913824,1438921
Francisco Morato (SP),2021,1872467,96908,1775558,658,127499,988959,658442
Franco da Rocha (SP),2021,4297871,477406,3820464,4528,1336799,1871368,607769
Gabriel Monteiro (SP),2021,93705,4317,89388,28443,16276,26511,18158
Gália (SP),2021,172719,9698,163021,50283,11686,67200,33852
Garça (SP),2021,1725228,152314,1572914,123187,217931,1045773,186023
Gastão Vidigal (SP),2021,85828,4322,81506,21817,4534,31817,23337
Gavião Peixoto (SP),2021,1184185,160599,1023586,47792,739454,197164,39176
General Salgado (SP),2021,275099,17691,257409,55734,12628,135424,53622
Getulina (SP),2021,215988,8211,207777,74848,6036,73131,53761
Glicério (SP),2021,125314,6804,118511,32201,17461,39802,29046
Guaiçara (SP),2021,232241,31421,200820,28038,32268,83097,57416
Guaimbê (SP),2021,442962,7582,435380,26372,349668,33409,25930
Guaíra (SP),2021,2704845,296238,2408608,262395,911598,1011424,223190
Guapiaçu (SP),2021,896415,104994,791421,68217,284894,343740,94570
Guapiara (SP),2021,439112,17137,421974,186970,50976,97990,86038
Guará (SP),2021,618205,49186,569020,54094,101737,298764,114425
Guaraçaí (SP),2021,326572,13584,312988,151153,14884,99409,47542
Guaraci (SP),2021,375453,38204,337249,89255,74478,110723,62793
Guarani d'Oeste (SP),2021,37040,1440,35599,6343,2917,11396,14944
Guarantã (SP),2021,196319,13214,183105,64116,22446,60246,36298
Guararapes (SP),2021,1199678,97022,1102656,234719,231377,483627,152933
Guararema (SP),2021,1546741,223947,1322794,50979,370827,751162,149826
Guaratinguetá (SP),2021,7877882,1556955,6320927,49627,2657654,3075538,538108
Guareí (SP),2021,313681,21488,292193,74506,52385,83287,82014
Guariba (SP),2021,1135134,117519,1017615,68504,250885,512978,185248
Guarujá (SP),2021,10494252,1580010,8914242,50432,1150370,5976188,1737252
Guarulhos (SP),2021,77376467,14358672,63017795,57763,17040801,40037172,5882058
Guatapará (SP),2021,245363,18213,227150,87619,13971,74248,51313
Guzolândia (SP),2021,93585,3643,89942,23193,5722,31713,29313
Herculândia (SP),2021,355955,30607,325348,87683,73606,118034,46026
Holambra (SP),2021,1463401,142834,1320568,509243,228722,498746,83857
Hortolândia (SP),2021,18377822,3794353,14583469,1575,5178931,8314851,1088112
Iacanga (SP),2021,658010,92656,565354,73945,48279,379965,63165
Iacri (SP),2021,316795,30356,286440,99988,27681,127935,30835
Iaras (SP),2021,168922,11824,157099,42584,10675,56934,46905
Ibaté (SP),2021,1159253,122506,1036747,50894,407365,422490,155998
Ibirá (SP),2021,318126,18661,299465,48698,62072,126892,61802
Ibirarema (SP),2021,244614,28472,216142,40776,28915,109953,36499
Ibitinga (SP),2021,1965223,197494,1767729,103104,407690,994119,262816
Ibiúna (SP),2021,2370586,240132,2130454,457846,391626,904427,376555
Icém (SP),2021,209289,7099,202190,30442,46755,74124,50869
Iepê (SP),2021,434356,62223,372133,83573,13880,222618,52062
Igaraçu do Tietê (SP),2021,381185,34646,346538,15880,23366,202870,104423
Igarapava (SP),2021,1299637,168071,1131566,58078,163275,780396,129817
Igaratá (SP),2021,240165,28433,211732,2694,24559,128600,55879
Iguape (SP),2021,1588620,29588,1559033,102580,800549,497573,158331
Ilhabela (SP),2021,13956618,134531,13822087,4355,9689118,3816794,311820
Ilha Comprida (SP),2021,1363561,15296,1348265,5569,847860,397962,96873
Ilha Solteira (SP),2021,706075,42162,663913,73083,39868,408260,142701
Indaiatuba (SP),2021,22817117,5040577,17776540,46619,6772161,9716239,1241521
Indiana (SP),2021,86968,4099,82869,18006,3922,33370,27571
Indiaporã (SP),2021,111103,5066,106037,27338,5860,48192,24647
Inúbia Paulista (SP),2021,136681,14814,121867,9788,7680,81554,22846
Ipaussu (SP),2021,499099,50916,448182,37048,123713,210478,76944
Iperó (SP),2021,969694,137729,831964,21813,308393,333670,168088
Ipeúna (SP),2021,947912,121804,826107,24395,486814,272643,42255
Ipiguá (SP),2021,124259,14310,109949,19588,24359,39831,26171
Iporanga (SP),2021,63459,2113,61347,7279,2987,22229,28851
Ipuã (SP),2021,442715,32391,410324,75494,40963,203007,90860
Iracemápolis (SP),2021,2127925,517565,1610360,22556,714975,749839,122990
Irapuã (SP),2021,186223,7346,178877,73484,9689,59247,36458
Irapuru (SP),2021,109595,4904,104691,21816,2638,44503,35734
Itaberá (SP),2021,1016119,100051,916068,304163,34938,485006,91961
Itaí (SP),2021,924897,81089,843807,301407,68360,347177,126863
Itajobi (SP),2021,935220,87198,848022,195825,238575,333653,79969
Itaju (SP),2021,232257,23308,208948,45851,79572,59661,23865
Itanhaém (SP),2021,2369275,149373,2219901,65653,159891,1451542,542815
Itaoca (SP),2021,53345,2237,51108,9352,6908,15328,19520
Itapecerica da Serra (SP),2021,4909299,669250,4240049,26749,767377,2720394,725529
Itapetininga (SP),2021,6359723,772390,5587332,411250,1394943,3095971,685169
Itapeva (SP),2021,3788992,327800,3461193,991509,477193,1560790,431701
Itapevi (SP),2021,12854995,2393511,10461484,365,1967818,7477096,1016204
Itapira (SP),2021,4756331,658596,4097735,76929,1922953,1743951,353902
Itapirapuã Paulista (SP),2021,52590,2401,50189,3029,2864,19854,24442
Itápolis (SP),2021,1630820,170808,1460012,157620,315905,784293,202193
Itaporanga (SP),2021,305514,15349,290165,65059,12970,142141,69996
Itapuí (SP),2021,1003729,148216,855513,23468,300837,466055,65153
Itapura (SP),2021,104628,4337,100291,35615,4325,30535,29815
Itaquaquecetuba (SP),2021,9519618,1398447,8121171,15806,2351746,4428778,1324841
Itararé (SP),2021,1182424,91982,1090442,172774,118453,580730,218485
Itariri (SP),2021,438980,35166,403814,109347,13139,204462,76866
Itatiba (SP),2021,8245498,1502895,6742602,840130,2385198,2904493,612782
Itatinga (SP),2021,396660,34846,361814,47196,58662,162823,93133
Itirapina (SP),2021,1273184,428523,844661,97283,257540,382848,106990
Itirapuã (SP),2021,161835,4950,156885,73243,9458,41938,32246
Itobi (SP),2021,198366,11594,186772,65156,17153,71342,33121
Itu (SP),2021,10540813,2062997,8477816,61728,2778956,4851516,785616
Itupeva (SP),2021,8423279,1936037,6487242,90568,2380932,3601853,413889
Ituverava (SP),2021,1907193,288605,1618588,124876,500865,801007,191840
Jaborandi (SP),2021,153278,6054,147224,53492,8042,49076,36614
Jaboticabal (SP),2021,3601183,435489,3165694,247870,697109,1831273,389442
Jacareí (SP),2021,16094435,3384895,12709540,38512,5105907,6611049,954072
Jaci (SP),2021,676808,95204,581604,32380,290063,221721,37441
Jacupiranga (SP),2021,531089,38519,492571,122649,30011,253282,86629
Jaguariúna (SP),2021,13981302,2951151,11030151,20780,3759803,6870415,379153
Jales (SP),2021,1982125,180189,1801936,88022,355473,1139428,219013
Jambeiro (SP),2021,352904,93077,259827,12071,112581,96688,38486
Jandira (SP),2021,4908360,865138,4043222,729,1244035,2246180,552277
Jardinópolis (SP),2021,1580760,187438,1393322,100311,227269,825790,239951
Jarinu (SP),2021,2997400,501633,2495767,55015,565117,1683142,192492
Jaú (SP),2021,5582395,630700,4951695,125735,878277,3302758,644925
Jeriquara (SP),2021,168937,5040,163897,97913,9837,34950,21197
Joanópolis (SP),2021,261558,17540,244018,25636,13741,141279,63362
João Ramalho (SP),2021,148675,4646,144029,84115,2977,33337,23600
José Bonifácio (SP),2021,1381751,122050,1259701,166491,272610,626318,194283
Júlio Mesquita (SP),2021,58843,2897,55946,9939,1691,20852,23465
Jumirim (SP),2021,214000,32719,181280,18362,86777,55533,20608
Jundiaí (SP),2021,57670893,13962024,43708869,185537,11700444,29583739,2239148
Junqueirópolis (SP),2021,807879,77443,730436,73463,177595,380558,98821
Juquiá (SP),2021,366459,19725,346735,89324,21741,148762,86908
Juquitiba (SP),2021,573997,54019,519978,1253,78290,306245,134190
Lagoinha (SP),2021,73967,3268,70699,11329,3548,30228,25594
Laranjal Paulista (SP),2021,1411101,212674,1198427,40154,509863,502219,146192
Lavínia (SP),2021,184896,7679,177217,69549,4259,50633,52776
Lavrinhas (SP),2021,133317,14954,118363,5804,22491,50203,39865
Leme (SP),2021,4101867,617609,3484258,111182,983962,1929159,459955
Lençóis Paulista (SP),2021,4924228,674467,4249761,97655,1872223,1952287,327596
Limeira (SP),2021,16060739,2582513,13478226,113031,4846074,7194793,1324329
Lindóia (SP),2021,246179,24754,221425,9519,76443,91645,43819
Lins (SP),2021,6763890,881694,5882196,70627,3089441,2421186,300941
Lorena (SP),2021,3876663,470158,3406506,18506,1316996,1702224,368780
Lourdes (SP),2021,43489,1477,42012,8581,1980,14230,17221
Louveira (SP),2021,19677151,3912791,15764360,37359,5764020,9636001,326980
Lucélia (SP),2021,584271,57710,526561,35246,142852,243594,104869
